date,actual_open,actual_high,actual_low,actual_close,pred_open,pred_high,pred_low,pred_close
2022-04-26,2930.4532,2957.6800000000003,2878.2563000000005,2886.4257,3042.6414,3076.093,3004.7424,3043.3196
2022-04-27,2866.8161,2959.1781000000005,2863.6497,2958.282,2976.9956,3009.4724,2940.2783,2977.672
2022-04-28,2945.8109,2991.5101,2936.7941,2975.4848,2969.579,3002.0178,2933.0679,2970.3333
2022-04-29,2986.0606,3048.4941,2968.3340000000003,3047.0624,2973.5513,3006.0867,2937.0078,2974.3472
2022-05-05,3044.8490999999995,3082.2294999999995,3042.1155,3067.7587000000003,3019.724,3053.014,2982.4187,3020.5945
2022-05-06,3011.3187,3030.6926000000003,2992.7152,3001.5605,3054.3765,3088.1902,3016.4568,3055.2573
2022-05-09,2990.199,3015.9425,2983.6119000000003,3004.1409,3029.8774,3063.26,2992.331,3030.6846
2022-05-10,2965.7759,3043.7789,2957.3967999999995,3035.8442,2999.434,3032.3315,2962.402,3000.2048
2022-05-11,3035.3893,3100.8998,3034.6745,3058.7027,3008.937,3042.0195,2971.7773,3009.7542
2022-05-12,3044.7997,3072.1574,3032.9452,3054.9939999999997,3050.8965,3084.6653,3013.0432,3051.7808
2022-05-13,3068.0330999999996,3086.0957,3059.2527,3084.2845,3059.9077,3093.7942,3021.8762,3060.7751
2022-05-16,3100.5500000000006,3102.577,3063.3977000000004,3073.7488000000003,3069.1978,3103.2102,3030.987,3070.0527
2022-05-17,3076.4982,3093.6964999999996,3057.6406,3093.6965,3072.4045,3106.4497,3034.121,3073.2437
2022-05-18,3095.8862,3105.8418999999994,3071.305,3085.9768,3079.5176,3113.6682,3041.1057,3080.3567
2022-05-19,3046.7104,3096.9647999999997,3042.6742,3096.9647999999997,3079.1877,3113.323,3040.7712,3080.0159
2022-05-20,3107.0940999999993,3146.5673,3107.0941,3146.5673,3083.3728,3117.575,3044.885,3084.2058
2022-05-23,3150.4898,3150.5093,3127.8986,3146.8573000000006,3119.667,3154.4485,3080.5657,3120.544
2022-05-24,3149.0589999999997,3153.1299,3070.9272000000005,3070.9272000000005,3141.035,3176.1265,3101.542,3141.9053
2022-05-25,3070.1702,3107.6279,3069.9459000000006,3107.4641,3131.8306,3166.7495,3092.4666,3132.6614
2022-05-26,3111.4817,3133.2767,3079.4812,3123.1079,3117.8796,3152.5684,3078.7437,3118.6858
2022-05-27,3135.0314999999996,3151.047,3112.5443,3130.2394,3118.2478,3152.9475,3079.1108,3119.0603
2022-05-30,3141.9559999999997,3150.8923,3123.1495,3149.0607,3125.4668,3160.2812,3086.2083,3126.288
2022-05-31,3149.9443,3188.6026,3142.0044,3186.4271,3137.222,3172.2175,3097.759,3138.0513
2022-06-01,3179.6949,3190.6094,3160.0399000000007,3182.1565999999993,3165.7898,3201.2302,3125.833,3166.642
2022-06-02,3170.3055,3197.2818,3163.7555,3195.4580000000005,3180.4111,3216.056,3140.1787,3181.2507
2022-06-06,3196.9551999999994,3237.0710000000004,3181.647,3236.3719,3189.7793,3225.549,3149.3638,3190.6038
