,Unnamed: 0,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2506,2506,2012-01-09,sh.000001,23.13369301048987,24.352873632742586,22.810677671822525,24.346368903427575,2163.395,7675983900,62132963469.0,3,0.004277,1,2.888741,0.0
2507,2507,2012-01-10,sh.000001,24.26589270964614,25.590557036857824,24.195352093263544,25.53336301446609,2225.89,10958541500,91045903375.0,3,0.006106,1,2.688992,0.0
2508,2508,2012-01-11,sh.000001,25.477220061140493,25.630537324354954,25.125647374260907,25.341037206853365,2285.744,8444178100,74264707833.0,3,0.004705,1,-0.424282,0.0
2509,2509,2012-01-12,sh.000001,25.196128496168065,25.72136555686334,25.127055410179707,25.320491781334013,2276.046,7156999400,63945881028.0,3,0.003988,1,-0.045513,0.0
2510,2510,2012-01-13,sh.000001,25.361542969389106,25.449832770945285,24.343314853688213,24.71701948543228,2275.01,7147432200,64030025661.0,3,0.003983,1,-1.337574,0.0
2511,2511,2012-01-16,sh.000001,24.436463370738835,24.651159101117806,23.95281294837764,23.955748009166122,2244.58,4585952200,42884791206.0,3,0.002548,1,-1.710207,0.0
2512,2512,2012-01-17,sh.000001,23.96245105339927,25.78387441906124,23.755925897647693,25.78387441906124,2206.193,8780356000,77406846620.0,3,0.004878,1,4.178368,0.0
2513,2513,2012-01-18,sh.000001,25.792957242312077,26.045709605482223,24.98113529341189,25.14942533294596,2298.376,8994042200,80655237044.0,3,0.00499,1,-1.391937,0.0
2514,2514,2012-01-19,sh.000001,25.143317233467236,25.929259085550086,25.009672810132308,25.738242156397092,2266.384,7249886100,63886737692.0,3,0.004023,1,1.310057,0.0
2515,2515,2012-01-20,sh.000001,25.825996507674297,26.270043440882823,25.694969841258832,26.195219222268392,2296.075,6992275300,62906415725.0,3,0.00388,1,1.003581,0.0
2516,2516,2012-01-30,sh.000001,26.301813490768943,26.301813490768943,25.504547856860263,25.51936198124536,2319.118,5841368700,51868459382.0,3,0.00324,1,-1.469517,0.0
2517,2517,2012-01-31,sh.000001,25.53752762774704,25.744370087367642,25.36106701358557,25.6695260372614,2285.038,4873832500,43777519937.0,3,0.002704,1,0.331374,0.0
2518,2518,2012-02-01,sh.000001,25.57941173845832,25.932352798273072,25.089097934847608,25.183059543062598,2292.61,5355381100,48554972307.0,3,0.00297,1,-1.069961,0.0
2519,2519,2012-02-02,sh.000001,25.297487250829704,26.065084972984558,25.195097258593734,26.065084972984558,2268.08,6347187200,57682360382.0,3,0.00352,1,1.960946,0.0
2520,2520,2012-02-03,sh.000001,25.94807917128162,26.535309475387635,25.83555528672867,26.419057270373642,2312.556,7894369700,70249339901.0,3,0.004378,1,0.771835,0.0
2521,2521,2012-02-06,sh.000001,26.49526969341506,26.640575033936642,26.161585012151754,26.433554090889714,2330.405,7573447700,67305626604.0,3,0.0042,1,0.031366,0.0
2522,2522,2012-02-07,sh.000001,26.201228164288047,26.206919802438684,25.39614892260463,25.655485341057044,2331.136,6732690600,58091080366.0,3,0.003734,1,-1.683037,0.0
