,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2456,2002-09-02,sh.000001,1666.3410,1669.9050,1663.1720,1668.7740,1666.6180,344460700,3720359891.0000,3,0.003685,1,0.129364,0
2457,2002-09-03,sh.000001,1669.5850,1680.2790,1669.5770,1674.0700,1668.7740,386772100,4261109004.0000,3,0.004138,1,0.317353,0
2458,2002-09-04,sh.000001,1674.4530,1675.9650,1662.4890,1663.9720,1674.0700,395059700,4101158749.0000,3,0.004227,1,-0.603195,0
2459,2002-09-05,sh.000001,1662.8920,1662.8990,1639.8210,1641.8070,1663.9720,601619400,6143667034.0000,3,0.006435,1,-1.332056,0
2460,2002-09-06,sh.000001,1639.8880,1644.7950,1629.9280,1631.3840,1641.8070,539432300,5270246945.0000,3,0.005764,1,-0.634848,0
2461,2002-09-09,sh.000001,1628.4520,1628.4520,1617.0090,1621.5820,1631.3840,418260100,4152661736.0000,3,0.004469,1,-0.600840,0
2462,2002-09-10,sh.000001,1620.2820,1627.3500,1619.3300,1625.1110,1621.5820,351201600,3755117416.0000,3,0.003742,1,0.217623,0
2463,2002-09-11,sh.000001,1645.9310,1650.0860,1641.4030,1647.7410,1625.1110,435277600,4428352865.0000,3,0.004637,1,1.392521,0
2464,2002-09-12,sh.000001,1619.9400,1631.6650,1614.5990,1624.5580,1647.7410,342851800,3722187293.0000,3,0.003651,1,-1.406955,0
2465,2002-09-13,sh.000001,1624.5020,1626.0690,1621.4240,1625.7590,1624.5580,306182400,3362246194.0000,3,0.003258,1,0.073931,0
2466,2002-09-16,sh.000001,1624.1330,1624.1370,1598.7400,1604.0830,1625.7590,443823100,4617856295.0000,3,0.004715,1,-1.333287,0
2467,2002-09-17,sh.000001,1603.4570,1612.0150,1593.9810,1604.8810,1604.0830,428532900,4213629446.0000,3,0.004557,1,0.049746,0
2468,2002-09-18,sh.000001,1603.6130,1605.2160,1593.5260,1594.5840,1604.8810,342691600,3683156238.0000,3,0.003643,1,-0.641605,0
2469,2002-09-19,sh.000001,1593.5730,1623.6530,1585.0680,1619.3540,1594.5840,550508400,5682547733.0000,3,0.005848,1,1.553384,0
2470,2002-09-20,sh.000001,1618.2000,1618.2000,1602.8850,1604.9130,1619.3540,348524500,3891941013.0000,3,0.003702,1,-0.891778,0
2471,2002-09-23,sh.000001,1602.2760,1604.2950,1597.2870,1602.5910,1604.9130,249711700,2768257985.0000,3,0.002652,1,-0.144682,0
2472,2002-09-24,sh.000001,1602.2030,1602.2850,1594.2820,1596.7320,1602.5910,317503200,3327743462.0000,3,0.003372,1,-0.365588,0
2473,2002-09-25,sh.000001,1595.8060,1602.3540,1590.4940,1597.8370,1596.7320,357656200,3853787256.0000,3,0.003799,1,0.069203,0
2474,2002-09-26,sh.000001,1597.8540,1599.9830,1586.5300,1587.6490,1597.8370,405337800,4417021256.0000,3,0.004300,1,-0.637611,0
2475,2002-09-27,sh.000001,1587.2430,1591.8370,1577.5300,1581.6180,1587.6490,390558000,4187701850.0000,3,0.004142,1,-0.379870,0
2476,2002-10-08,sh.000001,1577.0520,1577.0520,1558.4760,1562.9930,1581.6180,262379100,2659837924.0000,3,0.002783,1,-1.177592,0
2477,2002-10-09,sh.000001,1570.6490,1571.5230,1534.9110,1535.3660,1562.9930,1693941100,7573820065.0000,3,0.017458,1,-1.767575,0
2478,2002-10-10,sh.000001,1532.1810,1542.5640,1528.3520,1530.4070,1535.3660,508701000,3587683527.0000,3,0.005242,1,-0.322984,0
2479,2002-10-11,sh.000001,1532.1360,1536.8730,1521.9110,1524.0510,1530.4070,610708600,4644885919.0000,3,0.006280,1,-0.415312,0
2480,2002-10-14,sh.000001,1522.8720,1532.6300,1509.1360,1531.6760,1524.0510,549646400,4097420885.0000,3,0.005652,1,0.500311,0
2481,2002-10-15,sh.000001,1531.5810,1534.5800,1522.1010,1524.7280,1531.6760,374174600,2974364563.0000,3,0.003845,1,-0.453621,0
2482,2002-10-16,sh.000001,1524.9080,1548.5250,1524.9080,1537.3880,1524.7280,499620200,4012776856.0000,3,0.005135,1,0.830306,0
2483,2002-10-17,sh.000001,1537.9650,1538.7940,1511.3980,1513.0970,1537.3880,416896200,3406702678.0000,3,0.004284,1,-1.580011,0
2484,2002-10-18,sh.000001,1511.1770,1523.8310,1500.5430,1519.5390,1513.0970,408733300,3541925504.0000,3,0.004200,1,0.425742,0
2485,2002-10-21,sh.000001,1519.2050,1525.2560,1512.3270,1524.9250,1519.5390,345668200,2947387177.0000,3,0.003552,1,0.354457,0
2486,2002-10-22,sh.000001,1525.0800,1553.8650,1525.0650,1548.1040,1524.9250,648189800,5563652368.0000,3,0.006660,1,1.520006,0
2487,2002-10-23,sh.000001,1549.7660,1550.0880,1539.4760,1548.9650,1548.1040,472996400,4165715359.0000,3,0.004858,1,0.055614,0
2488,2002-10-24,sh.000001,1549.7850,1550.4310,1535.9000,1536.5200,1548.9650,442275900,4208307248.0000,3,0.004538,1,-0.803436,0
2489,2002-10-25,sh.000001,1535.7960,1542.5920,1517.4150,1520.3130,1536.5200,529281100,4438120265.0000,3,0.005431,1,-1.054788,0
2490,2002-10-28,sh.000001,1518.0860,1518.6010,1500.0070,1502.7160,1520.3130,508270300,4087222648.0000,3,0.005212,1,-1.157462,0
2491,2002-10-29,sh.000001,1501.3810,1511.7650,1488.6790,1510.8820,1502.7160,464592900,4213726237.0000,3,0.004759,1,0.543417,0
2492,2002-10-30,sh.000001,1511.1120,1513.4610,1498.4480,1509.7070,1510.8820,374856600,3383481351.0000,3,0.003840,1,-0.077764,0
2493,2002-10-31,sh.000001,1510.0300,1521.8710,1505.9990,1507.4960,1509.7070,357921800,3154416254.0000,3,0.003663,1,-0.146456,0
2494,2002-11-01,sh.000001,1507.3830,1511.0950,1498.2130,1510.7600,1507.4960,358179500,3149422226.0000,3,0.003665,1,0.216521,0
2495,2002-11-04,sh.000001,1516.2200,1532.2260,1515.0720,1531.8420,1510.7600,490830500,4342407878.0000,3,0.005022,1,1.395459,0
2496,2002-11-05,sh.000001,1533.8100,1565.2270,1532.2880,1558.2390,1531.8420,1190034500,10528073650.0000,3,0.012177,1,1.723218,0
2497,2002-11-06,sh.000001,1558.9140,1559.2250,1548.7280,1552.5610,1558.2390,647949400,6151167798.0000,3,0.006630,1,-0.364384,0
2498,2002-11-07,sh.000001,1554.0430,1559.8210,1546.2650,1554.2370,1552.5610,640628200,5551289115.0000,3,0.006553,1,0.107952,0
2499,2002-11-08,sh.000001,1569.9990,1573.1040,1517.3910,1522.1870,1554.2370,940124400,7541349207.0000,3,0.009613,1,-2.062108,0
2500,2002-11-11,sh.000001,1519.6030,1526.1320,1501.9890,1504.4030,1522.1870,439872700,3855845289.0000,3,0.004497,1,-1.168323,0
2501,2002-11-12,sh.000001,1504.5760,1517.7170,1481.1610,1485.9130,1504.4030,806369900,6212785716.0000,3,0.008243,1,-1.229058,0
2502,2002-11-13,sh.000001,1483.7120,1491.2360,1461.2600,1490.4640,1485.9130,640030700,5324174352.0000,3,0.006543,1,0.306278,0
2503,2002-11-14,sh.000001,1488.9140,1489.1400,1459.7090,1460.7950,1490.4640,531664300,4954007423.0000,3,0.005434,1,-1.990584,0
2504,2002-11-15,sh.000001,1455.9800,1481.2200,1451.3920,1463.6910,1460.7950,600443900,5275652459.0000,3,0.006137,1,0.198248,0
2505,2002-11-18,sh.000001,1463.7240,1468.3250,1447.4910,1451.2900,1463.6910,412223600,3700765817.0000,3,0.004210,1,-0.847242,0
2506,2002-11-19,sh.000001,1450.7030,1464.7630,1441.7310,1462.1740,1451.2900,422837600,3710422808.0000,3,0.004319,1,0.749947,0
2507,2002-11-20,sh.000001,1459.2120,1459.2120,1423.8030,1425.8430,1462.1740,569387200,4812460552.0000,3,0.005814,1,-2.484720,0
2508,2002-11-21,sh.000001,1421.2330,1421.2330,1389.2890,1390.6290,1425.8430,682793700,5483245242.0000,3,0.006971,1,-2.469696,0
2509,2002-11-22,sh.000001,1392.5740,1408.9990,1375.5390,1395.4970,1390.6290,676739900,5403454271.0000,3,0.006910,1,0.350052,0
2510,2002-11-25,sh.000001,1393.3410,1403.5130,1383.0900,1398.4380,1395.4970,445881300,3416142871.0000,3,0.004546,1,0.210752,0
2511,2002-11-26,sh.000001,1398.4380,1408.7930,1371.0070,1371.1670,1398.4380,532251100,4174131370.0000,3,0.005426,1,-1.950104,0
2512,2002-11-27,sh.000001,1365.8240,1383.9970,1353.1390,1378.7520,1371.1670,725723500,5332974800.0000,3,0.007394,1,0.553176,0
2513,2002-11-28,sh.000001,1378.1420,1417.8480,1372.3810,1417.5250,1378.7520,794634100,6208716381.0000,3,0.008097,1,2.812186,0
2514,2002-11-29,sh.000001,1420.4290,1450.1870,1409.2000,1434.1820,1417.5250,1506471300,12267849142.0000,3,0.015349,1,1.175075,0
2515,2002-12-02,sh.000001,1432.0290,1432.0290,1394.9110,1395.6750,1434.1820,669514300,5663038844.0000,3,0.006820,1,-2.684942,0
2516,2002-12-03,sh.000001,1391.7180,1409.8890,1388.5130,1408.8430,1395.6750,522009800,4218664747.0000,3,0.005313,1,0.943484,0
2517,2002-12-04,sh.000001,1414.8870,1432.8980,1406.6130,1414.4540,1408.8430,769689100,6504122259.0000,3,0.007833,1,0.398267,0
2518,2002-12-05,sh.000001,1411.8900,1411.8900,1395.0790,1404.8800,1414.4540,478247000,3977073506.0000,3,0.004867,1,-0.676867,0
2519,2002-12-06,sh.000001,1404.9250,1416.9970,1396.2050,1405.5250,1404.8800,381721100,3308794721.0000,3,0.003885,1,0.045913,0
2520,2002-12-09,sh.000001,1404.5130,1410.7940,1395.9260,1400.8670,1405.5250,328326200,2787268691.0000,3,0.003340,1,-0.331412,0
2521,2002-12-10,sh.000001,1400.5580,1406.8950,1383.5690,1383.8400,1400.8670,517753300,4341947300.0000,3,0.005250,1,-1.215460,0
2522,2002-12-11,sh.000001,1381.3990,1383.1520,1367.3120,1379.1950,1383.8400,442720000,3643224197.0000,3,0.004489,1,-0.335662,0
2523,2002-12-12,sh.000001,1378.8170,1399.7660,1378.8130,1383.9100,1379.1950,437994400,3791909429.0000,3,0.004439,1,0.341873,0
2524,2002-12-13,sh.000001,1375.7790,1401.6020,1367.9340,1396.8980,1383.9100,559802800,4621435005.0000,3,0.005674,1,0.938494,0
2525,2002-12-16,sh.000001,1397.7210,1409.9430,1392.8880,1408.5150,1396.8980,649098600,5247327365.0000,3,0.006579,1,0.831633,0
2526,2002-12-17,sh.000001,1409.1730,1418.2050,1403.5840,1416.0960,1408.5150,581891800,4765673085.0000,3,0.005898,1,0.538222,0
2527,2002-12-18,sh.000001,1416.6710,1424.4780,1409.8350,1411.7190,1416.0960,635415800,5286673451.0000,3,0.006440,1,-0.309086,0
2528,2002-12-19,sh.000001,1411.2760,1414.2880,1402.6420,1413.5970,1411.7190,482584700,4208861785.0000,3,0.004890,1,0.133033,0
2529,2002-12-20,sh.000001,1414.3450,1431.3640,1410.4600,1427.9360,1413.5970,634338700,5348770329.0000,3,0.006427,1,1.014362,0
2530,2002-12-23,sh.000001,1429.9510,1439.8500,1429.2930,1430.1990,1427.9360,638550200,5474167526.0000,3,0.006469,1,0.158476,0
2531,2002-12-24,sh.000001,1429.5310,1431.1240,1420.3800,1430.8270,1430.1990,530686400,4605115453.0000,3,0.005377,1,0.043914,0
2532,2002-12-25,sh.000001,1431.5880,1433.7870,1420.9300,1421.5150,1430.8270,543468000,4680032385.0000,3,0.005506,1,-0.650813,0
2533,2002-12-26,sh.000001,1419.9650,1420.0030,1382.3580,1384.1520,1421.5150,865209800,7055430849.0000,3,0.008760,1,-2.628396,0
2534,2002-12-27,sh.000001,1379.3280,1389.3280,1367.8520,1382.9710,1384.1520,685797900,5690603823.0000,3,0.006944,1,-0.085325,0
2535,2002-12-30,sh.000001,1379.7370,1379.7530,1358.4330,1366.3620,1382.9710,634728300,5327514632.0000,3,0.006427,1,-1.200957,0
2536,2002-12-31,sh.000001,1364.9680,1370.5260,1348.7140,1357.6540,1366.3620,650583300,5833557422.0000,3,0.006587,1,-0.637313,0
2537,2003-01-02,sh.000001,1347.4330,1351.3440,1317.4680,1320.6300,1357.6540,506568900,3883362087.0000,3,0.005129,1,-2.727061,0
2538,2003-01-03,sh.000001,1317.5830,1323.6280,1312.7960,1319.8680,1320.6300,364926400,2723884223.0000,3,0.003695,1,-0.057697,0
2539,2003-01-06,sh.000001,1319.6880,1334.8870,1311.6840,1334.6790,1319.8680,585053800,3974558319.0000,3,0.005900,1,1.122151,0
2540,2003-01-07,sh.000001,1335.6320,1346.8190,1326.1910,1332.0610,1334.6790,654707500,4412252213.0000,3,0.006585,1,-0.196146,0
2541,2003-01-08,sh.000001,1331.4410,1373.1160,1330.4510,1372.0670,1332.0610,847733800,5581740245.0000,3,0.008527,1,3.003314,0
2542,2003-01-09,sh.000001,1374.6180,1402.2860,1365.3700,1397.3840,1372.0670,1618572600,11212998074.0000,3,0.016281,1,1.845174,0
2543,2003-01-10,sh.000001,1398.3770,1411.3740,1384.6300,1384.8590,1397.3840,1463915500,10557969826.0000,3,0.014725,1,-0.896319,0
2544,2003-01-13,sh.000001,1381.8700,1391.1870,1378.6470,1386.3140,1384.8590,787615400,5873750483.0000,3,0.007922,1,0.105062,0
2545,2003-01-14,sh.000001,1386.8970,1476.9120,1386.5920,1466.8510,1386.3140,3177711700,22789709603.0000,3,0.031949,1,5.809433,0
2546,2003-01-15,sh.000001,1477.4540,1485.7950,1448.2710,1459.9200,1466.8510,3254010600,21334485658.0000,3,0.032716,1,-0.472503,0
2547,2003-01-16,sh.000001,1458.8660,1486.0590,1454.5460,1485.6180,1459.9200,2134331100,15741847006.0000,3,0.021454,1,1.760233,0
2548,2003-01-17,sh.000001,1488.2650,1492.7230,1472.9600,1478.6750,1485.6180,1859338900,13392218426.0000,3,0.018690,1,-0.467347,0
2549,2003-01-20,sh.000001,1475.7110,1482.9430,1458.1170,1482.6810,1478.6750,1402357200,10670713928.0000,3,0.014051,1,0.270917,0
2550,2003-01-21,sh.000001,1485.8700,1489.5510,1454.6110,1454.8910,1482.6810,1315773000,9955829856.0000,3,0.013177,1,-1.874310,0
2551,2003-01-22,sh.000001,1448.8260,1463.9380,1446.3480,1460.5300,1454.8910,1025818800,7782394568.0000,3,0.010274,1,0.387592,0
2552,2003-01-23,sh.000001,1460.2490,1470.3270,1448.7010,1450.6160,1460.5300,976508700,7381637371.0000,3,0.009775,1,-0.678799,0
2553,2003-01-24,sh.000001,1449.5040,1483.5570,1448.0110,1479.0700,1450.6160,1313368900,9228928605.0000,3,0.013147,1,1.961510,0
2554,2003-01-27,sh.000001,1481.6090,1500.3840,1480.9670,1496.1570,1479.0700,1197443200,9355492744.0000,3,0.011986,1,1.155255,0
2555,2003-01-28,sh.000001,1497.0980,1502.4320,1489.1650,1500.6390,1496.1570,889204400,7256385025.0000,3,0.008898,1,0.299571,0
2556,2003-01-29,sh.000001,1501.2860,1508.5880,1498.3720,1499.8150,1500.6390,990554000,8114116749.0000,3,0.009912,1,-0.054916,0
2557,2003-02-10,sh.000001,1499.1660,1499.6410,1477.5170,1480.1690,1499.8150,667252600,5042780439.0000,3,0.006677,1,-1.309895,0
2558,2003-02-11,sh.000001,1478.0460,1492.8940,1476.8740,1492.7640,1480.1690,537487400,4380750123.0000,3,0.005379,1,0.850923,0
2559,2003-02-12,sh.000001,1493.2480,1510.9850,1486.3130,1510.6710,1492.7640,925605200,7500148058.0000,3,0.009256,1,1.199586,0
2560,2003-02-13,sh.000001,1512.2850,1519.2900,1502.4310,1504.3380,1510.6710,1106329500,9421266825.0000,3,0.011063,1,-0.419218,0
2561,2003-02-14,sh.000001,1503.3730,1515.2550,1500.9830,1510.9500,1504.3380,817431000,6995608971.0000,3,0.008174,1,0.439525,0
2562,2003-02-17,sh.000001,1510.6400,1514.6360,1490.9180,1496.5230,1510.9500,938417000,7749922195.0000,3,0.009384,1,-0.954830,0
2563,2003-02-18,sh.000001,1495.1410,1500.2930,1488.8270,1496.4680,1496.5230,659428000,5473906762.0000,3,0.006592,1,-0.003671,0
2564,2003-02-19,sh.000001,1496.6510,1511.1320,1490.0220,1510.8030,1496.4680,835274500,6596342042.0000,3,0.008350,1,0.957920,0
2565,2003-02-20,sh.000001,1513.0070,1517.7660,1507.2270,1509.4860,1510.8030,813632600,6999572610.0000,3,0.008129,1,-0.087173,0
2566,2003-02-21,sh.000001,1508.0770,1508.1290,1476.4150,1478.8710,1509.4860,975142900,7980211157.0000,3,0.009742,1,-2.028173,0
2567,2003-02-24,sh.000001,1476.0700,1488.0720,1474.4710,1481.9360,1478.8710,639279100,5641785124.0000,3,0.006386,1,0.207257,0
2568,2003-02-25,sh.000001,1481.1060,1511.6490,1481.1060,1511.2750,1481.9360,968951200,8477911375.0000,3,0.009680,1,1.979774,0
2569,2003-02-26,sh.000001,1513.4930,1515.4570,1506.5530,1513.1750,1511.2750,690790900,6301319290.0000,3,0.006901,1,0.125723,0
2570,2003-02-27,sh.000001,1514.0240,1524.7510,1508.7470,1513.7040,1513.1750,760375800,6662132602.0000,3,0.007584,1,0.034955,0
2571,2003-02-28,sh.000001,1512.8650,1514.5020,1501.4240,1511.9320,1513.7040,646578200,5963188604.0000,3,0.006449,1,-0.117062,0
2572,2003-03-03,sh.000001,1511.5850,1525.6990,1511.0450,1525.4830,1511.9320,877537800,8064160650.0000,3,0.008753,1,0.896272,0
2573,2003-03-04,sh.000001,1527.4490,1529.7520,1517.8590,1524.3040,1525.4830,795350200,7492838546.0000,3,0.007931,1,-0.077292,0
2574,2003-03-05,sh.000001,1524.0770,1524.1230,1508.2510,1517.1790,1524.3040,673754800,6170288994.0000,3,0.006718,1,-0.467427,0
